nres,me,ma,name,sasa_sc,sasa_bb,mass_error,class,gyr,linearity
32,0.30790162,0.15066811,3rrrG02,2941.2126,602.6483,-0.07459616,6,13.09461612386004,0.40920675387062627
32,0.4132043,0.4356078,3w7tA04,2132.169,584.8544,-0.06970244,3,8.543410099247504,0.2669815656014845
32,0.6332369,0.34691414,1jmmA01,2830.8694,444.33514,-0.07281524,1,14.112824276078143,0.441025758627442
32,0.26898155,0.34581488,1kg1A02,1977.6898,843.3716,-0.06379298,2,9.106245717988221,0.2845701786871319
32,0.2567255,0.3575093,2m9aA03,2254.6262,610.6764,-0.06426535,3,8.738741155329896,0.27308566110405924
32,0.99175406,0.5071134,3plnA02,2962.2683,364.59418,-0.06837491,1,14.142551502170589,0.4419547344428309
32,0.59104204,0.4670259,2ok2A03,2447.212,472.55765,-0.06818565,6,9.280852123042356,0.29002662884507363
32,0.56177384,0.325161,1l5aA02,2932.2173,452.05682,-0.0786202,6,12.796398661671173,0.39988745817722415
32,0.20752144,0.27034834,3e2dA04,2252.468,566.1055,-0.066820145,4,8.512086567102637,0.2660027052219574
32,0.32392552,0.2558813,2dgyA02,2323.3792,739.5635,-0.06543553,1,10.488222512022096,0.3277569535006905
32,0.98587304,0.5394944,1mv8A02,2821.7832,357.10223,-0.071634844,1,13.985095361185262,0.43703423003703945
32,0.8889981,0.5090556,2j5dA01,2663.6338,441.7287,-0.074135795,6,13.71572052161207,0.4286162663003772
33,0.37967154,0.3587347,6qkpA01,2097.3865,600.7197,-0.06806978,4,8.18400662628297,0.24800020079645366
33,0.8336944,0.47120088,5vqfB01,2957.7573,424.50397,-0.07934003,6,13.597687080229266,0.4120511236433111
33,0.47850752,0.36019585,3sgfH02,2941.3096,612.2011,-0.07409666,6,13.503517954441088,0.40919751377094205
33,0.70478046,0.5931971,3k59A05,2208.038,409.47568,-0.06689241,6,7.504806153367371,0.22741836828385972
33,0.6220402,0.39591205,3gb8A03,2812.3628,520.4507,-0.092849076,6,14.649392039507989,0.4439209708941815
33,0.19590211,0.36521173,3al8B02,1914.6228,713.46564,-0.061126,3,8.083820697758716,0.24496426356844594
33,0.20392701,0.110226095,3ow2O02,2492.2405,903.11383,-0.072551616,1,11.70675026311128,0.3547500079730691
33,0.75072026,0.47332823,4iylA02,2777.2163,443.31677,-0.077904984,6,10.003099806390573,0.3031242365572901
33,0.42179427,0.42410117,4a0tA02,2028.7656,684.17114,-0.06696196,6,9.18312862945169,0.2782766251348997
33,0.05454173,0.15162557,3bxwA01,2496.0413,700.4525,-0.07368232,1,9.713754238400062,0.2943561890424261
33,0.8045191,0.39045858,2ke3A01,3608.3713,492.02274,-0.06330356,6,13.340174548375565,0.40424771358713835
33,0.5173587,0.40399715,3u61A01,2811.1445,557.69385,-0.066130675,6,11.221255527133275,0.3400380462767659
33,-0.046861287,0.09883347,2ysiA01,2281.664,723.46857,-0.06690304,2,9.523152880659511,0.28858039032301547
33,-0.21394515,0.05088472,3vdzA01,1600.82,962.0334,-0.060775142,4,9.88571102628484,0.2995670007965103
33,0.358294,0.38943404,1dx5I02,2065.0723,700.788,-0.061096348,2,9.106197943455042,0.27594539222591036
33,0.42055476,0.23506631,1w59A01,3157.6611,587.00464,-0.07245247,1,11.005419441750664,0.33349755884092924
33,0.2784205,0.32008862,2d00A02,2562.3767,734.01544,-0.07403174,6,10.554862363870274,0.31984431405667496
33,0.43283978,0.43627638,2v89A01,2354.5203,711.41364,-0.06472063,3,9.59635830945743,0.29079873665022515
33,0.28375372,0.33494854,2hd0A02,1903.8934,748.548,-0.06969801,2,8.949895217395794,0.2712089459816907
33,0.68580043,0.7101298,1e0fI01,1744.5294,686.9465,-0.060793284,2,7.406882960043975,0.22445099878921138
33,0.16159366,0.22010322,2fmlA01,2615.8672,638.61597,-0.06520013,1,9.829311816161214,0.2978579338230671
33,0.96245915,0.4519492,2y9yA03,3516.8462,331.69873,-0.07346788,1,14.61242967196043,0.44280089915031606
33,0.77787715,0.4300879,2qvwA03,2954.0598,440.31467,-0.07274247,6,14.58362381501322,0.44192799439434
33,0.25279197,0.37520394,2z2mD02,2093.1611,726.5647,-0.06793109,2,8.913523741033861,0.27010678003132915
33,0.77549183,0.43688697,1y9bB02,2816.8662,448.9098,-0.07570518,1,12.16972685289977,0.3687796016030233
33,0.24186829,0.22429727,2wzpP04,2209.4048,851.58905,-0.06901026,2,9.602071805811235,0.2909718729033708
33,0.4107022,0.4355691,2jl8102,2396.14,582.9882,-0.07503936,3,9.45579226815743,0.28653915964113424
33,0.5679607,0.574935,2gliA01,2471.119,657.4501,-0.06226401,3,9.778256757071969,0.2963108108203627
34,1.0820651,0.6376339,7bwfB02,2787.7815,448.07324,-0.06488219,6,11.802758522631708,0.3471399565479914
34,0.44022262,0.24185528,7bwnC02,3229.6238,731.4832,-0.07009194,4,11.635866045223779,0.3422313542712876
34,0.7361533,0.64627415,4jp0A03,2413.1382,450.7155,-0.07395245,1,7.959162071444243,0.23409300210130124
34,0.9263915,0.52312446,4i7zC03,3175.115,393.6582,-0.07868669,1,15.121538978618828,0.44475114642996555
